1006	1.16
11:Metre	1.33
29:er	1.33
420	1.20
470	1.29
49:er	1.70
5 m	1.03
505	1.36
606	1.03
707	1.09
806	1.09
A 22	1.17
A-Cat	1.78
Accantus 78	0.96
Accent	1.03
AH-30 -1978	1.06
AH-30 1979-	1.08
Albin 57	0.89
Albin 78 Cirrus	1.03
Albin 79	1.00
Albin 82	0.95
Albin Alpha	1.10
Albin Ballad	1.08
Albin Delta	1.11
Albin Nova	1.15
Albin Stratus	1.17
Albin Vega	1.00
Albin Viggen	0.97
Allegro 27	1.00
Allegro 30	1.07
Allegro 33	1.07
Alo 28	1.03
Alo 33	1.11
Alo 96	1.10
Alo Mikkel 26	1.02
Amigo 23	0.89
Amigo 27	0.94
Andunge	0.95
Ansa 42	1.20
Antilla 30	1.09
Aphrodite 101	1.17
Aphrodite 22	1.01
Aphrodite 25 bly	1.06
Aphrodite 25 järn	1.05
Aphrodite 29	1.11
Aphrodite 30	1.08
Aphrodite 33	1.11
Aphrodite 34	1.13
Aquila	1.06
Arabesque 23	0.96
Arabesque 26	1.00
Arabesque 30	1.07
Arabesque 32	1.09
Arcona 32	1.14
Arcona 355	1.22
Arcona 36	1.22
Arcona 370	1.30
Arcona 400	1.32
Arietta MH	1.02
Artina 29 7/8	1.12
Artina 33	1.15
Athena 34	1.18
Avance 24	1.02
Avance 245	1.01
Avance 318 7/8	1.14
Avance 318 MH	1.14
Avance 33	1.14
Avance 36	1.17
Avanti	0.94
B 22	1.08
B 31	1.06
Baccant	1.07
Ballad	1.08
Banner 30	1.14
Banner 33 RC	1.18
Banner 34	1.17
Banner 41	1.33
Bavaria 34	1.16
Bavaria 35 Match	1.28
Bavaria 890	1.08
BB 10 M	1.20
BB 11	0.87
BB 17	0.96
Beason 24	1.01
Beason 31	1.09
Beason 311	1.09
Beason 36	1.20
Becker 22	0.93
Becker 27	1.00
Bellona 23	0.99
Bellona 29	1.07
Beneteau 25	1.21
Bianca 101	1.17
Bianca 111 7/8	1.21
Bianca 111 MH	1.21
Bianca 26	1.03
Bianca 27	0.97
Bianca 28	1.03
Bianca 36	1.15
Bianca 414	1.26
Bianca Lido	1.12
Bianca Riviera	1.09
Birdie 24	1.02
Birdie 32	1.10
Boström 37	1.16
Botnia 6	1.07
Bumerang 32	1.14
C 40	1.20
C&C 25	1.04
C&C 26	1.04
C&C 30E	1.09
C&C 33	1.13
C55	1.04
Cayenne Int	1.26
Calife 23	0.97
Campus 500	0.99
Campus 6,3	1.07
Campus 600	0.99
Campus 650	1.06
Canalot	1.15
Carrera Helmsman	1.22
Carter 30	1.08
CB 33	1.18
CB 365	1.28
CB 66 Racer	1.19
Cenit 33	1.16
CH 29	1.10
Chess	1.07
Clipper 29	0.98
Columbie 66	0.95
Comfort 26	1.07
Comfort 30	1.09
Comfort 32	1.11
Comfort 34	1.13
Comfortina 32	1.14
Comfortina 35	1.22
Comfortina 36	1.21
Comfortina 38 Cr	1.26
Comfortina 39 Cr	1.25
Compis	1.06
Compis 33	1.15
Compis 36	1.20
Compis 363	1.22
Compis 97	1.10
Conqubin 38 Cr	1.20
Conrad 1200	1.18
Contessa 28	1.06
Contrast 33	1.16
Contrast 36	1.20
Contrast 362	1.20
Crown 31	1.16
Crown 39	1.27
Cumulus	1.09
Cutlass 27	1.00
Dart 18	1.40
Dehler 29	1.17
Dehler 29 grund köl	1.16
Dehler 31	1.12
Dehler 34	1.17
Dehler 34 DD	1.25
Dehler 36 JV	1.29
Dehler 39 JV	1.31
Diva 35	1.25
Diva 355	1.25
Diva 39	1.25
Dixie 27	1.03
Dixie 32	1.15
Dixie 7/8	1.03
Dixie MH	1.02
Dynamic 35	1.28
Dominant 105	1.18
Dominant 78	1.06
Dominant 95	1.15
Dominant Race	1.14
Drabant 22	0.98
Drabant 24	1.04
Drabant 26	1.03
Drabant 27	1.07
Drabant 30 järn	1.08
Drabant 33	1.12
Draco Summerwind	0.90
Drake	1.07
Drake -1946	1.04
Duetta 86	1.05
Dufour 2800	1.03
Dufour 34 HR	1.24
Dufour 34 LR	1.23
Dufour 3800	1.10
Dufour 40 HR	1.31
Dufour 40 LR	1.30
Eagle Cat 20 Carbon	1.91
Eyghtene 24	1.04
E-jolle	1.16
EK-kryssare	0.96
Elan 333	1.22
Elan 37 djup köl	1.30
Elan 37 medium köl	1.29
Eloge 38	1.23
Elvström 717	1.16
Empress	1.05
Eol 30	1.00
Ericson 35	1.09
Excel 319	1.16
Express	1.11
F 18	0.94
Fabola Sesam	0.90
Facil 26 7/8	1.01
Facil 26 MH	1.01
Facil 30 järn	1.14
Facil 35	1.16
Facil 355XO	1.22
Fandango	1.09
Fastnet 34	1.13
Fenix	1.07
Feva	1.12
Fingal	1.00
Finn	1.22
Finn 35	1.16
Finn 351	1.16
Finn Express 64	0.96
Finn Express 74	1.03
Finn Express 83	1.07
Finnfire 33	1.14
Finnflyer 27	1.04
Finnflyer 31 Cr	1.12
Finngulf 28 e	1.14
Finngulf 31	1.15
Finngulf 33	1.19
Finngulf 36	1.21
Finngulf 39	1.27
Finngulf 391	1.27
Finnsailer 30	1.03
First 25 MH	1.05
First 27,7	1.18
First 28 7/8	1.12
First 28 MH	1.09
First 30E 7/8	1.13
First 30E MH	1.11
First 31,7 HR	1.19
First 31,7 LR	1.18
First 32 7/8	1.14
First 33,7 djup köl	1.22
First 33,7 grund köl	1.19
First 33,7 medium köl	1.20
First 35	1.18
First 36,7	1.29
First 40,7 grund köl	1.32
First 40,7 std, köl	1.34
First Class 10	1.25
First Class 8	1.16
Flamingo 40	1.19
Flicka	0.96
Forgus 31	1.09
Forgus 321	1.11
Forgus 36	1.16
Formula 16 (1)	1.76
Formula 16 (2)	1.69
Formula 18	1.69
Fortissimo	1.09
Freja	1.02
Furioso	1.01
Gambler 35	1.19
Gambler 37	1.26
Gambler 38	1.26
Gambling 34 7/8	1.12
Gambling 34 MH	1.14
Gecco 39	1.20
Gib-Sea 80 Plus	1.06
Giggen	0.76
GK 24 MH	1.03
GK 29 Cr	1.09
Granada 23	1.03
Granada 24	0.97
Granada 27	1.06
Granada 31 MH	1.11
Granada 808	1.04
Granada 910	1.09
Granhill	1.14
Great Dane 28	0.98
Grimbo 82	1.05
Grinde	1.06
Guy 22	0.99
Guy 27 7/8	1.03
Guy 27 MH	1.04
Guy 33	1.14
Guyline 105	1.18
Guyline 125	1.24
Guyline 3800	1.23
Guyline 822	1.12
Guyline 95 HR	1.14
Guyline 95 LR	1.13
H 323	1.13
H 35	1.13
Hanse 311 djup köl	1.15
Hanse 311 grund köl	1.14
Hanse 312 djup köl	1.15
Hanse 312 grund köl	1.14
Hanse 341	1.21
Hanse 342	1.22
Hanse 371	1.25
Hanse 411 djup köl	1.27
Hanse 411 grund köl	1.27
Hansson 31	1.21
Harmony 31	1.06
H-båt	1.07
Helmsman 20	0.97
Helmsman 23	0.98
Helmsman 26	1.03
Helmsman 31	1.09
Hero 101	1.13
Hero 107 CS	1.14
Hydra 16	0.96
Hobie 20 fox	1.79
Hobie Cat 14	1.24
Hobie Cat 14T	1.36
Hobie Cat 16	1.43
Hobie Cat 17	1.46
Hobie Cat 18	1.59
Hobie Cat 18FA	1.67
Hobie Cat 18M	1.52
Hobie Cat 21	1.80
Hobie FX one(1)	1.71
Hobie FX one(2)	1.61
Hobie Pacific	1.61
Hobie Tiger	1.67
HR 26	1.02
HR 29	1.04
HR 312	1.05
HR 34	1.18
HR 352 HR	1.10
HR 352 LR	1.08
HR 36	1.15
H-star	1.10
Humphreys 22	1.23
Hunter Sonata	1.01
Hurley 18	0.82
Hurricane 500	1.54
IF	1.02
IF-E	0.99
Impala 27	1.12
Impala 30	1.12
IMX 38	1.32
IMX 40	1.38
Indra	0.99
Inferno 26	1.13
Inferno 28	1.12
Inferno 29	1.14
Inferno 31	1.15
Inferno 33	1.19
IOD	1.13
IW 23	0.95
IW 26	1.00
IW 31	1.08
IW 40 HR	1.19
Ylva	1.24
Yngling	1.01
J 10	0.76
J 17	0.86
J/105	1.29
J/24	1.11
J/80	1.21
J/92	1.26
Jarrack 33	1.11
Jasmine 25	1.00
Jeanneau Sunrise	1.17
JOD 35	1.27
Joe 17	0.90
Johnson 23	0.99
Johnson 26	1.03
Johnson 27	0.98
